name,country,region,address,phone,lat,lon
BARCELONA,Venezuela,ANZOÁTEGUI,Sector Nueva Barcelona Local C N° 18 Centro Comercial Los Chaguaramos. Av. Fuerza Armadas Parroquia El Carmen Municipio Simón Bolívar Barcelona Anzoátegui Venezuela Zp. 6001,,,
PUERTO LA CRUZ,Venezuela,ANZOÁTEGUI,"Av. Stadium C.C. Cardón Nivel P.B, Local 16 y 17 Sector Casco Central Puerto la Cruz Estado Anzoátegui. Zp. 6023",,,
ANACO,Venezuela,ANZOÁTEGUI,"Av. José Antonio Anzoátegui, Centro Comercial Anaco Center, Nivel 1, Local 60, Zona Aeropuerto, Anaco - Anzoátegui, Zona Postal 6003.",,,
CALICANTO,Venezuela,ARAGUA,"Av. Sucre Norte, Centro Empresarial Sucre, PB, local N°4. Maracay Edo. Aragua (a 50mtr sentido norte de la oficina anterior)",,,
MARACAY ESTE – AV. LOS CEDROS,Venezuela,ARAGUA,"Parroquia José Casanova Godoy, Av. Los Cedros C/ El Canal N° 177-B, Sector Urbanización Santa Ana, Municipio Girardot, Parroquia Joaquín Crespo, Maracay, Edo. Aragua.",,,
CAGUA,Venezuela,ARAGUA,Calle Sucre CC La Pirámide Local A -30 Cagua Municipio Sucre Parroquia Centro Cagua Zp. 2122,,,
DR. MONTOYA,Venezuela,ARAGUA,Av. Doctor Montoya C.C. Estación de Serv. Casa Gómez Nivel P/B local 7-3 sector La Morita 1 Turmero Edo-Aragua Zp. 2116,,,
LA VICTORIA,Venezuela,ARAGUA,"Av. Victoria C.C Cilento Nivel PB Local 09, Zona Centro La Victoria, Aragua. Zona Postal 2121",,,
LOS MANGOS,Venezuela,ARAGUA,"Calle Ricaurte oeste, casa n° 30, entre calle Vargas y Soublette, Maracay, Edo. Aragua ZP",,,
ALTO BARINAS,Venezuela,BARINAS,Av. El Progreso Cruce con calle 03 C.C Plaza Premium Nivel P.B Local 04 Sector Alto Barinas Norte. Municipio Barinas Parroquia Alto Barinas Zp. 5201,,,
BARINAS- CENTRO COMERCIAL BARINAS,Venezuela,BARINAS,"Avenida 23 de enero con Av. Agustín Codazzi, Centro Comercial Barinas (Antiguo CADA) Torre ""A"", Nivel Planta Baja Local Nº 5-A, Barinas - Estado Barinas",,,
BARINITAS,Venezuela,BARINAS,"Av. Intercomunal Rafael Roche, local Hotel Cacao Suites Nro 01. Sector Villa Nueva, Barinitas - Barinas. CP 5206.",,,
PUERTO ORDAZ (CASTILLITO),Venezuela,BOLÍVAR,"Calle santa Rosalía con calle Las Bonitas Edf. Padovan, P.B. Sector Castillito Puerto Ordaz. Parroquia Cachamay. Municipio Caroní. Zp. 8050.",,,
ALTA VISTA,Venezuela,BOLÍVAR,"Urb. Alta Vista Norte Local C UD 250 Calle Nekuima con Cuchivero C.C ciudad Alta Vista 1, P1 local 81 Parroquia Universidad Municipio Caroní Puerto Ordaz Bolívar Venezuela Zp. 8050",,,
UNARE (UNARE II),Venezuela,BOLÍVAR,"Av. 1 Sector II Unare II Edif. Ipeca Local 02 P.B. Municipio Caroní, Parroquia Unare ZP. 8050",,,
SAN FÉLIX - EL ROBLE,Venezuela,BOLÍVAR,"Av. Moreno de Mendoza C.C. LA CARIÑOSA PB local 01, Sector El Roble, San Félix Ciudad Guayana Bolívar, Zp. 8051",,,
UPATA,Venezuela,BOLÍVAR,"Centro Comercial Residencial Colonial Park, Calle Upata B, cruce con calle Pao. Municipio Piar, Upata, Edo. Bolívar. ZP 8052.",,,
PUERTO ORDAZ - AV. ATLÁNTICO,Venezuela,BOLÍVAR,"Av. Atlántico cruce con Av. Norte Sur 4, Estación de servicio Ventuari Local Nro. Municipio Caroní Parroquia Unare Zp. 8050",,,
VALENCIA,Venezuela,CARABOBO,"Av. Andrés Eloy Blanco, CC Beverly Center PB, Local L-/-24 Municipio Valencia Zp. 2001",,,
VALENCIA SUR,Venezuela,CARABOBO,Av. Henry Ford Zona Industrial Municipal Sur Centro Comercial Paseo Las Industrias Nivel Mezzanina Local M-16 Municipio Valencia Parroquia Rafael Urdaneta Zp. 2003,,,
VALENCIA - DISTRIBUIDOR SAN BLAS,Venezuela,CARABOBO,Calle Negro Primero Nro. 97-31 a 100 metros de Imeca frente al Distribuidor San Blas Municipio Valencia Parroquia San Blas Zp 2001,,,
PLAZA CANDELARIA VALENCIA,Venezuela,CARABOBO,"Calle Cantaura con Calle Carabobo, C.C.Plaza Candelaria, Local N 5. Frente a la Plaza Candelaria. Municipio Valencia Edo. Carabobo. Parroquia la candelaria Zp 2001",,,
